Season,Seed,TeamID,Region,Num
1985,W01,1207,W,1
1985,W02,1210,W,2
1985,W03,1228,W,3
1985,W04,1260,W,4
1985,W05,1374,W,4
1985,W06,1208,W,6
1985,W07,1393,W,7
1985,W08,1396,W,8
1985,W09,1439,W,9
1985,W10,1177,W,10
1985,W11,1455,W,11
1985,W12,1330,W,12
1985,W13,1233,W,13
1985,W14,1318,W,14
1985,W15,1273,W,15
1985,W16,1250,W,16
1985,X01,1385,X,1
1985,X02,1433,X,2
1985,X03,1301,X,3
1985,X04,1424,X,4
1985,X05,1449,X,4
1985,X06,1409,X,6
1985,X07,1104,X,7
1985,X08,1234,X,8
1985,X09,1116,X,9
1985,X10,1112,X,10
1985,X11,1431,X,11
1985,X12,1246,X,12
1985,X13,1361,X,13
1985,X14,1305,X,14
1985,X15,1267,X,15
1985,X16,1380,X,16
1985,Y01,1328,Y,1
1985,Y02,1272,Y,2
1985,Y03,1181,Y,3
1985,Y04,1326,Y,4
1985,Y05,1256,Y,4
1985,Y06,1403,Y,6
1985,Y07,1412,Y,7
1985,Y08,1425,Y,8
1985,Y09,1229,Y,9
1985,Y10,1277,Y,10
1985,Y11,1130,Y,11
1985,Y12,1338,Y,12
1985,Y13,1235,Y,13
1985,Y14,1337,Y,14
1985,Y15,1335,Y,15
1985,Y16,1299,Y,16
1985,Z01,1276,Z,1
1985,Z02,1314,Z,2
1985,Z03,1242,Z,3
1985,Z04,1261,Z,4
1985,Z05,1268,Z,4
1985,Z06,1345,Z,6
1985,Z07,1323,Z,7
1985,Z08,1437,Z,8
1985,Z09,1173,Z,9
1985,Z10,1333,Z,10
1985,Z11,1120,Z,11
1985,Z12,1275,Z,12
1985,Z13,1298,Z,13
1985,Z14,1325,Z,14
1985,Z15,1292,Z,15
1985,Z16,1192,Z,16
1986,W01,1181,W,1
1986,W02,1393,W,2
1986,W03,1231,W,3
1986,W04,1328,W,4
1986,W05,1438,W,4
1986,W06,1386,W,6
1986,W07,1298,W,7
1986,W08,1330,W,8
1986,W09,1452,W,9
1986,W10,1409,W,10
1986,W11,1350,W,11
1986,W12,1177,W,12
1986,W13,1318,W,13
1986,W14,1156,W,14
1986,W15,1135,W,15
1986,W16,1290,W,16
1986,X01,1242,X,1
1986,X02,1276,X,2
1986,X03,1323,X,3
1986,X04,1207,X,4
1986,X05,1277,X,4
1986,X06,1301,X,6
1986,X07,1235,X,7
1986,X08,1239,X,8
1986,X09,1396,X,9
1986,X10,1275,X,10
1986,X11,1234,X,11
1986,X12,1449,X,12
1986,X13,1403,X,13
1986,X14,1114,X,14
1986,X15,1103,X,15
1986,X16,1299,X,16
1986,Y01,1246,Y,1
1986,Y02,1210,Y,2
1986,Y03,1272,Y,3
1986,Y04,1228,Y,4
1986,Y05,1104,Y,4
1986,Y06,1345,Y,6
1986,Y07,1439,Y,7
1986,Y08,1443,Y,8
1986,Y09,1304,Y,9
1986,Y10,1437,Y,10
1986,Y11,1261,Y,11
1986,Y12,1462,Y,12
1986,Y13,1193,Y,13
1986,Y14,1123,Y,14
1986,Y15,1265,Y,15
1986,Y16,1172,Y,16
1986,Z01,1385,Z,1
1986,Z02,1257,Z,2
1986,Z03,1314,Z,3
1986,Z04,1424,Z,4
1986,Z05,1268,Z,4
1986,Z06,1412,Z,6
1986,Z07,1133,Z,7
1986,Z08,1120,Z,8
1986,Z09,1112,Z,9
1986,Z10,1431,Z,10
1986,Z11,1281,Z,11
1986,Z12,1337,Z,12
1986,Z13,1419,Z,13
1986,Z14,1428,Z,14
1986,Z15,1180,Z,15
1986,Z16,1286,Z,16
1987,W01,1314,W,1
1987,W02,1393,W,2
1987,W03,1345,W,3
1987,W04,1395,W,4
1987,W05,1323,W,4
1987,W06,1196,W,6
1987,W07,1452,W,7
1987,W08,1298,W,8
1987,W09,1276,W,9
1987,W10,1443,W,10
1987,W11,1301,W,11
1987,W12,1292,W,12
1987,W13,1267,W,13
1987,W14,1318,W,14
1987,W15,1204,W,15
1987,W16,1335,W,16
1987,X01,1207,X,1
1987,X02,1104,X,2
1987,X03,1228,X,3
1987,X04,1155,X,4
1987,X05,1242,X,4
1987,X06,1344,X,6
1987,X07,1309,X,7
1987,X08,1246,X,8
1987,X09,1326,X,9
1987,X10,1140,X,10
1987,X11,1412,X,11
1987,X12,1222,X,12
1987,X13,1283,X,13
1987,X14,1122,X,14
1987,X15,1299,X,15
1987,X16,1137,X,16
1987,Y01,1231,Y,1
1987,Y02,1396,Y,2
1987,Y03,1177,Y,3
1987,Y04,1281,Y,4
1987,Y05,1181,Y,4
1987,Y06,1385,Y,6
1987,Y07,1210,Y,7
1987,Y08,1120,Y,8
1987,Y09,1360,Y,9
1987,Y10,1261,Y,10
1987,Y11,1455,Y,11
1987,Y12,1401,Y,12
1987,Y13,1462,Y,13
1987,Y14,1256,Y,14
1987,Y15,1380,Y,15
1987,Y16,1193,Y,16
1987,Z01,1424,Z,1
1987,Z02,1234,Z,2
1987,Z03,1338,Z,3
1987,Z04,1417,Z,4
1987,Z05,1438,Z,4
1987,Z06,1328,Z,6
1987,Z07,1431,Z,7
1987,Z08,1208,Z,8
1987,Z09,1243,Z,9
1987,Z10,1112,Z,10
1987,Z11,1409,Z,11
1987,Z12,1461,Z,12
1987,Z13,1141,Z,13
1987,Z14,1265,Z,14
1987,Z15,1365,Z,15
1987,Z16,1226,Z,16
1988,W01,1396,W,1
1988,W02,1181,W,2
1988,W03,1393,W,3
1988,W04,1231,W,4
1988,W05,1210,W,4
1988,W06,1281,W,6
1988,W07,1374,W,7
1988,W08,1207,W,8
1988,W09,1261,W,9
1988,W10,1323,W,10
1988,W11,1348,W,11
1988,W12,1235,W,12
1988,W13,1350,W,13
1988,W14,1299,W,14
1988,W15,1131,W,15
1988,W16,1250,W,16
1988,X01,1345,X,1
1988,X02,1338,X,2
1988,X03,1301,X,3
1988,X04,1243,X,4
1988,X05,1177,X,4
1988,X06,1242,X,6
1988,X07,1435,X,7
1988,X08,1124,X,8
1988,X09,1272,X,9
1988,X10,1429,X,10
1988,X11,1462,X,11
1988,X12,1455,X,12
1988,X13,1247,X,13
1988,X14,1293,X,14
1988,X15,1185,X,15
1988,X16,1192,X,16
1988,Y01,1328,Y,1
1988,Y02,1246,Y,2
1988,Y03,1228,Y,3
1988,Y04,1140,Y,4
1988,Y05,1257,Y,4
1988,Y06,1437,Y,6
1988,Y07,1268,Y,7
1988,Y08,1120,Y,8
1988,Y09,1133,Y,9
1988,Y10,1364,Y,10
1988,Y11,1116,Y,11
1988,Y12,1333,Y,12
1988,Y13,1150,Y,13
1988,Y14,1427,Y,14
1988,Y15,1380,Y,15
1988,Y16,1151,Y,16
1988,Z01,1112,Z,1
1988,Z02,1314,Z,2
1988,Z03,1276,Z,3
